Capital_Cities,title,count
Bengaluru,Software Developer,10966
Mumbai,Software Developer,969
"Kolkata, Mumbai, New Delhi, Hyderabad, Bengaluru",Software Developer,626
New Delhi,Software Developer,188
"Mumbai, Bengaluru",Software Developer,93
"Mumbai, Mumbai",Software Developer,49
Jaipur,Software Developer,49
"Bengaluru, Bengaluru",Software Developer,36
Kolkata,Software Developer,35
Dehradun,Software Developer,34
"Bengaluru, Mumbai",Software Developer,33
Hyderabad,Software Developer,32
"Mumbai, Hyderabad",Software Developer,23
"Kolkata, Mumbai, New Delhi",Software Developer,21
"Mumbai, Hyderabad, Bengaluru",Software Developer,16
"Hyderabad, Bengaluru",Software Developer,15
Gandhinagar,Software Developer,14
"Jaipur, Bengaluru",Software Developer,13
Lucknow,Software Developer,12
Ranchi,Software Developer,11
